Question,Answer1,Answer2,Answer3,CorrectAnswer
Which of these films does NOT prominently feature identical twins?,1) Adaptation,2) The Parent Trap,"3) Twins ",3
Cirque du Soleil is a theater troupe first formed in which country?,1) USA,"2) Canada ",3) France,2
Which of these is NOT part of the three-word Olympic motto?,"1) Thicker ",2) Higher,3) Faster,1
"At New Orleans Mardi Gras, what are float riders required to wear by law?",1) Tuxedos,"2) Masks ",3) Sweater vests,2
Which of these destinations is legally allowed to bill itself as “The Happiest Place on Earth”?,1) Maryland,2) Orlando,"3) Disneyland ",3
"According to legend, what vessel is most likely to contain a wish-granting genie?",1) Magic limo,"2) Magic lamp ",3) Magic loofah,2
The inventor of the board game Risk also directed what award-winning film?,1) The 400 Blows,"2) The Red Balloon ",3) Last Year at Marienbad,2
Which of these supposedly hip cities does NOT have an Instagram filter named after it?,1) Nashville,"2) Austin ",3) Brooklyn,2
"What math concept is traditionally notated by a tall, S-shaped curve?",1) Second derivative,2) Series,"3) Integral ",3
Which of these is NOT a menu option for ordering hash browns at Waffle House?,1) Capped,"2) Slathered ",3) Chunked,2
Which voice actor from “The Emperor’s New Groove” was once blacklisted in Hollywood?,"1) Eartha Kitt ",2) Wendie Malick,3) Tom Jones,1
A 1976 book by Richard Dawkins introduced what now-common word?,1) Android,2) Emoticon,"3) Meme ",3
Students of Auguste Escoffier would have known how to do what?,1) Design a chateau,2) Perform a grand jeté,"3) Prepare a velouté ",3
What disease gets its name from the Italian term for “bad air”?,1) Influenza,"2) Malaria ",3) Asthma,2
The R.E.M. song “Man on the Moon” was written about what comedian?,1) Jim Carrey,2) Mitch Hedberg,"3) Andy Kaufman ",3
Which of these is NOT a unit of temperature?,1) Celsius,2) Fahrenheit,"3) Hectare ",3
Which U.S. coin features a portrait of Abraham Lincoln?,1) Kennedy half-dollar,2) Buffalo nickel,"3) Penny ",3
Who famously painted the ceiling of the Sistine Chapel?,"1) Michelangelo ",2) Bob Ross,3) Mr. Brainwash,1
Which of these things did Skee-Lo NOT wish for in his hit '90s song?,1) 1964 Impala,"2) White shirt collar ",3) Child named Big Al,2
The first official African-American fraternity was founded at what university?,1) Howard,2) Clemson,"3) Cornell ",3
"One thousand years ago, which of these regions was heavily populated with Moorish people?",1) Albion,2) Novgorod,"3) Iberia ",3
Which Secretary-General of the United Nations once appeared on “Da Ali G Show”?,1) Kofi Annan,2) Ban Ki-moon,"3) Boutros Boutros-Ghali ",3
Which of these North American deserts is the smallest?,1) Sonoran Desert,"2) Mojave Desert ",3) Chihuahuan Desert,2
"According to Marie Kondo, you should only own material items with what quality?",1) Eco-friendly,2) Useful in daily life,"3) Spark joy ",3
What is the name of London's electronic public transit pass?,1) Opal,"2) Oyster ",3) Presto,2
The author of “The Picture of Dorian Gray” was born in what country?,1) France,"2) Ireland ",3) United States,2
What U.S. state borders only one other U.S. state?,1) Alaska,"2) Maine ",3) Rhode Island,2
The “skyhook” is a move in which of these sports?,1) Polo,2) Acrobatics,"3) Basketball ",3
In what part of a newspaper would you post an item for sale?,1) Sports section,2) Weather page,"3) Classifieds ",3
What is the mid-day meal usually called?,1) Jack Bauer Power Hour,"2) Lunch ",3) Sleepy time,2
The author who created Tarzan once worked for which of these publications?,1) Sports Illustrated,2) Paris Review,"3) Sears catalog ",3
What beauty product entrepreneur became the first U.S. self-made female millionaire?,1) Helena Rubinstein,2) Elizabeth Arden,"3) C.J. Walker ",3
Bart's age on “The Simpsons” is NOT the same as which of these characters?,1) Ash from Pokémon,2) Encyclopedia Brown,"3) Nancy Drew ",3
"According to the Book of Leviticus, which of these animals is kosher to eat?",1) Owl,"2) Cricket ",3) Rabbit,2
